id,text,target,language,set,HS,TR,AG
1914,Blame the Illegal Border Crossing Parents they put their kids in Danger sending them with Criminal Coyotes or Crossing the Border Illegally  with them #Trump #MAGA #WakeUpAmerica  #RedNationRising #Immigration https://t.co/3IUMIUYx9I,mig,en,train,1,0,1
1915,Leftist guy kicked out from his own house naked by refugees he invitied https://t.co/z7YaB03yrn,mig,en,train,1,0,0
1916,"WATCH: British Tourist Slaps Immigration Officer Over $4,000 Fine https://t.co/0GL8WlvRXi https://t.co/wag0eNLwnx",mig,en,train,0,0,0
1917,"Italians supporting refugees and migrant's rights in Pozzallo, Sicily during Interior Minister @matteosalvinimi's (far-right) visit to the world-known hotspot. https://t.co/2qlPEKLspj",mig,en,train,0,0,0
1918,"Wait your turn...Guyanese immigrant explains to NY Post why he agrees with US President, Donald Trump's immigration policy.  https://t.co/pRDsTkw5Zm https://t.co/pRDsTkw5Zm",mig,en,train,0,0,0
1919,U.N. refugee boss concerned over U.S. separating children from... #Washington #UnitedNations #FilippoGrandi... https://t.co/7fyWdhw68W https://t.co/yTFN7Cpn54,mig,en,train,0,0,0
1920,#OpenBorders #Immigration #MS13  #ChildTrafficking  #DrugCartelsWhat the left wants is OPEN BORDERS.  What will that bring the United States?  - High crime- Low wages- An overburdened... https://t.co/sCrPp1Abq5,mig,en,train,1,0,1
1921,@PolkCoSheriff @realDonaldTrump America MUST STOP criminal illegal aliens from coming into this country!!! We must PROTECT our children!!! #WalkAwayFromDemocrats #DemocratsHateAmerica #DemocratsKilledMollieTibbetts #BuildThatWall #TrumpForever #GodBlessPO,mig,en,train,1,0,1
1922,Border security  and take more migrants in you can find money for non Uk people and a like you can find money when you want for bowing and scraping to Europe there is no digty for our NHS staff no pay rises  disabled and umemployed shamed The torys have lost the trust of the lost,mig,en,train,0,0,0
1923,Zeebrugge struggles with problem of trans-migrants https://t.co/SC4RHKOifu,mig,en,train,0,0,0
1924,#WhenIWentToTheMallI called @ICEgov to report every #IllegalAlien I saw and forwarded their photos and vehicle license plate information for arrest and deportation!#MakeAmericaSafeAgain#MAGA #WalkAway #WompWomp #BuildTheWall #DeportThemAll #DefundSanctuaryCities #EndDACA,mig,en,train,1,1,1
1925,The German government is giving refugees three weeks paid vacations INCLUDING airfare BACK to the very countries they fled from because it was unsafe.  https://t.co/zxVlBsXVAR,mig,en,train,0,0,0
1926,"Wash DC judge ordered Trump to reinstate DACA but by August 23, a federal judge in Texas will hear case trying to shut down DACA entirely &amp; it isn’t ? whether judge, known as an immigration hawk, will rule in favor of killing DACA, but when he’ll do it.",mig,en,train,1,0,0
1927,He was born in the former Soviet Union and has lived the American dream. Now Russian immigrant Dimitri Shein is seeking the Democratic nod for a US House seat in Alaska. https://t.co/pOGW72dp5e,mig,en,train,0,0,0
1928,Like the #TravelBan and #SanctuaryCities Orders this will be another Blow to the Open Borders Crowd clue Some of those so called parents already deported lets send their kids back Too!  #Trump #MAGA #RedNationRising  #Immigration https://t.co/yqHt8elH83,mig,en,train,1,0,1
1929,"Ahed Tamimi, African migrants and Israeli apartheid https://t.co/Ug5jhuSfo6",mig,en,train,0,0,0
1930,@TheEconomist All illigal refugees in USA must be deported quick by homeland security.,mig,en,train,1,0,0
1931,"Son of Jamestown, Protestants that made the USA and Conservative for President Trump... You can stick Lincoln, the guy that used Fed troops against Citizens and imposed tariffs and taxes on the Souths Cotton... it was written by Irish Catholic immigrant formerly a Never Trumper https://t.co/EQ4OHtovjb",mig,en,train,0,0,0
1932,Over 240 mio. refugees wait for the UN act for unlimited settlement in November 2018.(USA+Hungary dont undertake) in Marocco. https://t.co/7alYyrM3JT,mig,en,train,0,0,0
1933,Docs reveal SHOCKING damage in hotels housing Syrian refugees | Sheila G... https://t.co/0OR2hCqkcA via @YouTube Thanks to our great prime minister Ha ha ha he’ll how was these people and hotels allowing them to wreck the places but our homeless still sleep on the street.,mig,en,train,1,0,0
1934,Senator Ted Cruz visits immigrant detention centre https://t.co/ZEAdM2ztac,mig,en,train,0,0,0
1935,Arrest them and DEPORT THEM ALL!!!!#BuildThatWall,mig,en,train,1,0,1
1936,By now you have probably heard of immigrant families being separated at the U.S.-Mexico border. Given the complex environment we have set up a “Family Reunification Fund” which will give us flexibility to respond as the situation changes. Donate âž https://t.co/t1T62AtnWF https://t.co/KHy2TjVVvX,mig,en,train,0,0,0
1937,"Deputy Prime Minister of Italy, @matteosalvinimi calls for anti immigration alliance across Europe!#immigration #Brexit #summer #whitegenocide #BNP #Wimbledon #WorldCup2018 #BrexitShambles https://t.co/dHdbDUkcuA",mig,en,train,0,0,0
1938,Spain: Socialist ruling party wants to give migrants the right to vote https://t.co/Amj4LFM5y7,mig,en,train,0,0,0
1939,@dailytelegraph  when the Tory's relax non EU Immigration for NHS recruitment then make it harder for people to make complaints and sue incompetent medical practice go hand in hand and there is a price for not training UK staff everything has a price! it,mig,en,train,0,0,0
1940,First comes tightening of non prosecution of Naff Staff then open door immigration Policy for Non EU medical staff after a week of complaining about poor Indian sponsored Medical students and Doctors Immigration law is changed for others through the back door they call it common#,mig,en,train,0,0,0
1941,"@KamalaHarris And how many #AmericanKids have yet to be reunited with their parents because their parents commit a CRIME?Oh, that's right, #KamalaHarris doesn't care about #American kids, just #Illegals.#IllegalAliens #FamilySeparation #IllegalImmigrants",mig,en,train,1,0,1
1942,UK Pensioner Faces 350 Lashes In Saudi Arabia why does this country exist it does nothing for migrants picks on old men no help from anyone,mig,en,train,0,0,0
1943,Looks like Libya's new Maritime Rescue Coordination Center based on an Italian warship near Tripoli is excited about coordinating EU-trained Libyan coastguards to intercept migrants &amp; refugees in Libya's unrecognized Search and Rescue zone https://t.co/7veijwXSeg https://t.co/OKdzNSGqlE,mig,en,train,0,0,0
1944,"He's been convincing towns and cities to hire him to deal with their immigrant and 'voting' problems, seen them get sued, and walks away lining his pockets.  The perfect Trump candidate. https://t.co/LAxb8EHWpr",mig,en,train,0,0,0
1945,"57% of likely voters in both WI &amp; CA want #Immigration cut to 750,000 or less &amp; 49% in both states want it cut to 500,000 or less! With just a few more people, a majority will support cutting the current 1million in Half!#StopTheInvasion #SecureTheBorder #VoteRed #AmericansFirst https://t.co/j8cEgKcYPg",mig,en,train,1,0,1
1946,@MailOnline Moroccan kids having sex with a donkey (yes) and terrorists why should Europe take in any more refugees they spoil countries,mig,en,train,1,0,1
1947,"Spain needs to wake up and wake up quickly. Families are not going to holiday in a country where assault, robbery and rape is rapidly increasing. They can have violent african migrants, they can have millions of holidaymakers but they are not going to be able to have both.",mig,en,train,1,0,0
1948,Restrict Welfare Benefits 2 British people ONLY Confiscate properties that house illegal Immigrants Offshore internment camps 4 Illegal Immigrants. Segregate by Ethnicity 2 simplify. Invite UN 2 solve missing passports &amp; Papers. No Residency Automatic Deportation 4 Illegal entry. https://t.co/YCznTAsDrb,mig,en,train,1,0,1
1949,@LtGovDelhi Very sad to see all pavements in front of Lodhi Hotel &amp; Hudco have been encroached upon by illegal migrants. Very bad sight. Besides Delhi Traffic Police is very lax in challaning the Traffic offenders.They r always seen gossiping,mig,en,train,1,0,1
1950,Help Hindu Bengalis in Assam to save them from becoming refugee again https://t.co/GEflcuSl0E,mig,en,train,0,0,0
1951,Did Morocco let more migrants make dangerous #Spain crossing to get a good deal with EU? https://t.co/u2N96KOOzc https://t.co/W2RYJBP4zi,mig,en,train,0,0,0
1952,@MailOnline The uk suffers when there is uncapped migration we cant cope ask the midwives in hospitals ask our opion we wan to leave europe,mig,en,train,1,0,0
1953,ðŸ‡ªðŸ‡¸Spain: 'Spain sets up migrant command center amid summer surge in arrivals'Very disappointed in that great country. They are actively giving away their country.,mig,en,train,1,0,1
1954,Now is not the time to abandon the US refugee program. #RefugeesWelcome #wewelcomerefugees #welcome75k https://t.co/NFm0DjRpgZ,mig,en,train,0,0,0
1955,"Bravo, @doctorow. And by the way: I am also an immigrant, and so is my wife, and both my in-laws. When you are saying immigrants do not deserve anything, you are talking about me. https://t.co/gLVktggiUu",mig,en,train,0,0,0
1956,Venezuelan migrants bring Trinidad's flawed refugee policy to light https://t.co/DbMjgfcSsh,mig,en,train,0,0,0
1957,Urge all Indians to start a campaign for ouster of Rohingyas.This campaign must go on till last Rohingya&amp;other illegal migrants leave India,mig,en,train,1,0,1
1958,Trump appeals Hawaii court ruling on travel ban https://t.co/bsq2wVbegA #AgainstAllEnemies #StopTheInvasion #PoliticalIslam,mig,en,train,1,0,0
1959,"In many areas of the country there are large numbers of immigrants with  less than 2 years of college education, community colleges can be the  best option! Join us April 13 learn more! https://t.co/OUx6UAub5l  @NOVAChamber @NOVA_Prez @NOVAcommcollege @NoVaTechCouncil @novapbs https://t.co/hRFCwC7632",mig,en,train,0,0,0
1960,EU has stayed silent for 3 years while its migration-control partner Turkey kills and injures Syrian asylum seekers and pushes massive numbers back at the border - now it's silent over Turkey blocking registration for those who manage to get in @HRW https://t.co/9yAXWYwwS0 https://t.co/hB1FGzophT,mig,en,train,0,0,0
1961,"Wow, @mkhammer is disgusting. Watch the way she laughs off and rolls her eyes at @ninaturner. turns out we did take the importance of black lives and immigrant children to the polls and it’s doing very well across the country. https://t.co/EYoW4FNxbC",mig,en,train,0,0,0
1962,Immigrants restrained during deportation 'with little justification' https://t.co/EPeLdorDaz https://t.co/ZlTTso9qe2,mig,en,train,1,0,0
1963,"Exactly - and many that can have no inkling of what being ""British"" means - 2nd generation sheltered immigrant whisked into being MPs etc. - how can they? https://t.co/ufBbok6HhO",mig,en,train,1,0,0
1964,#church #ministry United Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation https://t.co/d17C1WjVFo #dailynews #trending,mig,en,train,0,0,0
1965,"Sweden: Muslim migrants get five months' youth detention for prolonged, bloody, filmed gang rape of 13-year-old girl https://t.co/PNny841ju5 via @jihadwatchRS",mig,en,train,1,0,1
1966,not a big enough spade for Mr shit himself to dig himself out The UK did vote to stop shitty nations and immigration on the whole but as he puts it time to put our own people first ask Germany and Sweden about crime going up trouble is Migrants can demand not what they earned,mig,en,train,1,0,0
1967,"Watch: Britons protest against Migrants ""Deport all migrants"" - Free Speech Time - https://t.co/o1BnjCdVZ9 @ISupport_Israel",mig,en,train,1,0,0
1968,UN urges #Libya not to detain rescued migrants #head #UnitedNations https://t.co/tE14Tbfywy https://t.co/KGTf6BKJ6o,mig,en,train,0,0,0
1969,Build the dam wall.Stop this from happening here in the USA.#BuildTheWall#EndSantcuaryCities#EndChainMigration#VisaLottery#JimJordanForSpeaker#VoteRED #RedTsunami #SupportPresidentTrump#MAGA,mig,en,train,1,0,1
1970,Drowned woman and child and survivor found after Libyan coastguards left them to die on migrant Â… https://t.co/r3cGBspumJ,mig,en,train,0,0,0
1971,"""In all, 17,781 illegal migrants arrived in Spain during the first six months of 2018, almost double the 9,581 migrants who arrived in Spain during the same period in 2017."" https://t.co/pty0pDYswr",mig,en,train,0,0,0
1972,Watch: Muslim migrants attack Swedish woman in front of her children - Free Speech Time - https://t.co/zgTtvlprpU @ISupport_Israel,mig,en,train,1,0,1
1973,"@rajnathsingh Sir,pl don't bow to mad Mamta/TMC whims&amp;threats.Centre must go ahead&amp;deport all illegal migrants from all over India. India must not be made home to Muslim illegal migrants. Pl don't abt consequences.Entire India is with u in throwin",mig,en,train,1,0,0
1974,@trumpovic02 @lah3309 Veterans firstRefugees go home,mig,en,train,1,0,1
1975,ICE officers arrest 32 sex offenders on Long Island as part of 'Operation SOAR' https://t.co/QTko2drKYo#StopTheInvasion #SecureTheBorder,mig,en,train,1,0,0
1976,ICE operation targeting criminal aliens and immigration violators nets 40 arrests in New York state https://t.co/4QzcXQmyvL    Round them up...,mig,en,train,0,0,0
1977,"“The American administration’s decision to withhold $300 million had a deep impact on UNRWA’s ability to cater to #Palestine #refugees ' needs"" https://t.co/FjZWV1lF6t",mig,en,train,0,0,0
1978,Realizing the rights of Eritrean refugees in Israel. A new article:https://t.co/0SsTUvgQ6z https://t.co/Yj7MfnzkgA,mig,en,train,0,0,0
1979,"‘˜Not found’: Half of ‘˜deported’ refugees never left Germany, report reveals https://t.co/7ZWFEavLAx",mig,en,train,0,0,0
1980,"This is awesome! We are also trying to help refugees share their stories, through our new podcast. https://t.co/03nN3x23DR https://t.co/wheiclDSCg",mig,en,train,0,0,0
1981,“A 16-year old high school student designed a website with resources intended to help immigrant children and teenagers understand and prepare for the possible deportations of their parents or guardians.” |Arab American News #Refugees #deportation https://t.co/RIc5d6sUcw https://t.co/qN9rmAvV7c,mig,en,train,0,0,0
1982,#Spain: Violence as 800 migrants storm Ceuta fence https://t.co/SgaTceuzG5,mig,en,train,0,0,0
1983,"https://t.co/qsd8HH7Qg9Get off your left wing high horse @cbc Certainly not the average person's take on a ""refugee"". Remove the country shoppers, the opportunist migrants, those with criminal or terrorist ties, those with hidden wealth and who's left? https://t.co/ioyjFomx5B",mig,en,train,1,0,0
1984,Migrants and refugees arrive in Spain:https://t.co/9e8D7yOTAS https://t.co/kaEmsE2xsa,mig,en,train,0,0,0
1985,Can't they trade her for 5 illegal immigrants? https://t.co/1YSh9DBQiL,mig,en,train,1,0,0
1986,What Mamata Banerjee Said Of Bangladeshi Immigrants In 2005 https://t.co/dkwrNwgnWZ via @ndtv,mig,en,train,0,0,0
1987,https://t.co/QFNu7xW1Qz think Spain is biting off more than it can chew #nomore #sendthemback,mig,en,train,0,0,0
1988,Retweeted Christopher C. Hull (@ChristopherHull):Immigrant from @realDonaldTrump #TravelBan country shoots up... https://t.co/PbfznYxUoT,mig,en,train,1,1,0
1989,"@wolfblitzer obviously we have a liar on denial full of all kind of excuses a cruel person,with the mess of immigrant lost without their parents show a men with no feeling for humans,congress is shock with all his actions,his own party against him.",mig,en,train,0,0,0
1990,"@MailOnline Instead of Getting Obamas ,Autograph and fine dining with the EU nobs he should be on a Listening skills course no EU ,migrants",mig,en,train,1,0,1
1991,American taxpayers are billed $8 BILLION EVERY YEAR for REFUGEES ???????? ðŸ˜²ðŸ¤¬That’s ABSURD &amp; should be illegal! When did we vote for that?????????!!! #NoMoreRefugees https://t.co/mR8PVNUBqT,mig,en,train,1,0,0
1992,A 6-Year-Old Girl Was Sexually Abused in an Immigrant-Detention Center #Infowars   https://t.co/DbGH2ZcgF4,mig,en,train,0,0,0
1993,"@Charlie_Barca @guardian That’s part of it! Overall, it’s about feeling that more refugees would add to the city, whereas there’s too much tourism in it.",mig,en,train,0,0,0
1994,"Do elections really matter when US sportsmen still protesting racism at home.Actually, Native Americans home.Move back to where your great great great great grandfather came from.And see if there are refugees shelters there, like Hollywood's homeless tents.It's beautiful!",mig,en,train,0,0,0
1995,"As pressure to return builds up, Syrians express their anxieties. Why Many think they can never go back? Watch Huda’s story who fears she may be forced to look at Europe, again @dwnews   https://t.co/uzOXXWIvLi https://t.co/BwdXKYcLHv",mig,en,train,0,0,0
1996,"YOU DON'T HAVE TO GO HOME BUT YOU CAN'T STAY HERE: For First Time In A Decade, Italian-Flagged Vessel Returns Migrants To Libya. Open Borders Activists Outraged https://t.co/ebQiE501Gv",mig,en,train,0,0,0
1997,Coding program in NY seeks to open tech career doors for immigrant girls https://t.co/DpCcd6zVan,mig,en,train,0,0,0
1998,New Citizens Concerned Over Immigration Debate https://t.co/VkuVTF88fa,mig,en,train,0,0,0
1999,"@BevJacksonAuth The situation here is already tense, imagine after this! Yesterday, hundreds of refugees protested in Mytilene in memory of an Afghani who died due to lack of care in Moria. Riots and violent protests have already happened for less in the",mig,en,train,0,0,0
2000,"In wake of Muslim migration, Sweden “struggles over child marriage,” fears “cultural insensitivity” ‘˜STOP CHILD MARRIAGES!’#SWRM https://t.co/1P7HLqYuFU via @pamelageller",mig,en,train,0,0,0
2001,"Trump will close the goverment, if he dont get the money for the wall ! To build the wall will rescue USA from refugees like Europe. https://t.co/bAmP1eGyZo",mig,en,train,0,0,0
2002,Two aid workers charged with theft of refugee camp supplies in Uganda https://t.co/hz3cP28QAg,mig,en,train,0,0,0
2003,@truckerbooman @marcorubio @LindseyGrahamSC NO DACA #NODACA #NoDACA U admit DACA illegal WHY would GOP uphold illegal law? NO DACA That means NO laws should be followed BAD precedent to follow sorry for illegal children but they R illegal!,mig,en,train,1,0,1
2004,"Orban declares Easterneurope free of refugees. He says that Soros want to make Europe to a multiculturell society, which is poor. https://t.co/PUQlWNxtYJ",mig,en,train,1,0,0
2005,"@TorontoRBOT @JustinTrudeau @FP_Champagne When a group of smiling third world faces move into your street, they know the nice dumb White people will transfer $$ to pay for the new school + costs of teaching lower-IQ children.The descendants of the White p",mig,en,train,1,0,1
2006,"Irony died an infilltrator's death after seeing a pakistani quoting rubbishness peddled by some gulf country shit on the illegal immigrants state level concerns of India, too empathical for someone to corelate with those Illgl Immgrnts https://t.co/lcJ5mc8Q5v",mig,en,train,1,0,1
2007,"No to #EU migrant camps in Libya, PM al-Serraj https://t.co/hIsSOU73Lq https://t.co/SxaU7QhDTn",mig,en,train,1,0,0
2008,Bravo to Chicago Campus associate professor Dr. Nayeli Chavez for another wonderful interview on the heartbreaking topic of alleged sexual abuse at immigrant youth shelters. See the Univision interview here. https://t.co/osufg6MGll https://t.co/TAwOd0eQQM,mig,en,train,0,0,0
2009,"Germany, #Spain reach agreement on return of migrants https://t.co/ECDmrDxTzL https://t.co/xu4HYPoH6e",mig,en,train,0,0,0
2010,Trump meets NATO chief Stoltenberg ahead of Brussels summit https://t.co/UOWEPdkuG6,mig,en,train,0,0,0
2011,"Iranians either entered via Greece or Serbia, which recklessly grants visas to Iranians.  Some Iranians now fly into SerbiaðŸ‘‰then leave for richer state in EU. Indirect support of illegal migration must end or others must impose sanctions on Serbia to adjust attitude.@euronews https://t.co/pZhlGOJAXC",mig,en,train,1,0,0
2012,"Africans having their say about Blacks in Europe, and Europeans in Africa, at the #LandExpropriationHearings, currently underway in #SouthAfrica.  #SendThemBack https://t.co/WrrsX5OGWi",mig,en,train,1,0,0
2013,"Banning ""hate speech"" is directly proportional to crime rise in Germany by Sharia enablers.""Hate speech"" is a tool to hide UN's mass immigration to conquer the West. #UnitedAgainstSharia https://t.co/FXddkyzdGa",mig,en,train,1,0,0
2014,"@PattyArquette @TransEthics No refugees in Russia. No refugees in the United States. But the rest of the world its their playground. Maybe #StevenSeagal will save us all! (just to make sure, it's a joke). #armsindustry #unsc",mig,en,train,0,0,0
2015,Looks like a bread line in Africa.. Can #Spain afford all this?  Hundreds of migrants break through border at Spanish exclave Ceuta https://t.co/PfcuKx5StZ via @YouTube,mig,en,train,1,0,0
2016,"@NYGovCuomo Never forget, the perpetrators of 911 SHOULD NOT HAVE BEEN IN THE USA. #BuildThatWall",mig,en,train,1,0,1
2017,"Absolutely in agreement. Genuine refugees welcome. Grown men, with smartphones, pretending to be children - not welcome. https://t.co/Gss3dfFJ4d",mig,en,train,0,0,0
2018,Thinking about tonight's playdate protest-planning call? (https://t.co/MCmbKw3C8R) Read Stacy's story about her family's experience with being incarcerated and separated based on racism and anti-immigrant politics: We Will Defend Immigrant Families https://t.co/WbmJMAsF6V https://t.co/XXHwIt6bhX,mig,en,train,0,0,0
2019,Turkish border mayor says ready for new wave of Syrian refugees https://t.co/JCswjJQu7k,mig,en,train,0,0,0
2020,Media and migrants: How journalists help fuel populist momentum https://t.co/fvMGX5JEWi,mig,en,train,0,0,0
2021,* Spain ðŸ‡ªðŸ‡¸ Socialist PM Pedro Sanchez in panic mode as aggressive male migrants overwhelm Spain.  What did he expect?  https://t.co/hccQmsQ9Vl #v4 #visegrad https://t.co/WLKbHflU58,mig,en,train,1,0,0
2022,"I would like to see our border closed to immigration until we sort out the mess we have.  Send all illegals home.  If it is safe to go home, send refugees home.  Fix our immigration system to a merit base one, and then test it to see if it works. https://t.co/calDs5Tm6Q",mig,en,train,1,0,1
2023,"For @ArchDigest ’s Clever I wrote about my shifting understanding of home, from those of the displaced communities in Colombia, my grandmother’s handbuilt house, and my own as an immigrant:  https://t.co/6a2G1JTeSj",mig,en,train,0,0,0
2024,@DonnaBr37703036 Screw her and her beliefs!! Send them packing!! This is a Christian nation with Christian laws. #BuildThatWall #kag,mig,en,train,1,0,1
2025,EU28 leaders have agreed on #euco conclusions incl. migration #dollar selling off hard....#EURUSD #GBPUSD #GBPJPY #NZDUSD rallying,mig,en,train,0,0,0
2026,#migrants perhaps all countries that gave massive food aid to countries that could not feed their own people due to too many people as is (eg: the country is a desert) years ago should readily welcome the aftermath in the form of endless migration of refugees to their homes?,mig,en,train,0,0,0
2027,Sunday Talks: Representative Jim Jordan Discusses Immigration Legislation and Ongoing FBIÂ Oversight‘¦ https://t.co/tOdifPdNS5 https://t.co/RExNzrlVr6,mig,en,train,0,0,0
2028,"When violent extremists burned down his mother’s medical clinic and  attempted to kidnap him, Al and his parents fled Iraq and eventually resettled in the U.S. Watch his incredible journey, then join  the campaign to help refugees rebuild their lives.âž https://t.co/91X12T4lJG https://t.co/zjDWzjNnHl",mig,en,train,0,0,0
2029,#SOSVenezuela: migrants or refugees? https://t.co/DGhjCDQ3CG https://t.co/VJ4B9r5Hie,mig,en,train,0,0,0
2030,"AUM INDIA FOR INDIANS, BANGLADESHIS GO HOME -THAT SHOULD BE OUR AIM TO PURSUE. ANYONE WHO INFRINGES CITIZENSHIP RULES MUST BE PUNISHED SEVERELY. THE STATE OF ASSAM HAS ENFORCED A ZERO TOLERANCE POLICY TOWARDS ILLEGAL IMMIGRANTS LEST ASSAMESE ARE REDUCED TO A MINORITY IN ASSAM.",mig,en,train,1,0,1
2031,Authorities on Samos object to plans for new migrant camp https://t.co/jN8e6bACua,mig,en,train,0,0,0
2032,"@c_of_e  As you fall over yourselves to welcome Syrian refugees ,homes etc why did you not do it for ordinary people are u lambs or goats",mig,en,train,1,0,1
2033,WE AS A NATION DESERVE A REASONABLE EXPECTATION OF SAFETY IN OUR OWN COUNTRY! VOTE REPUBLICAN #BuildThatWall #EndChainMigration #ENDVISALOTTERY #EVERIFY #ENDVOTERFRAUD,mig,en,train,1,0,1
2034,"Kontraste: Die Clans - Arabische GroÃŸfamilien in DeutschlandSinds de jaren zeventig heersen Arabische grootfamilies binnen de georganiseerde misdaad in Europa. Mind you, zij waren eerst ""refugees"" uit o.a. Libanon.https://t.co/v4QSHmRWYC",mig,en,train,0,0,0
2035,"@splcenter @KeishaBottoms You fucking MORON! You are going to turn ATL into a 3rd world city with your garbage, open borders policy. You uneducated FOOL! #AtlantaHitRockBottoms #BuildThatWall #ImpeachBottoms #MAGA",mig,en,train,1,0,1
2036,"US immigrants 'living in fear' of Trump's deportation drive @AJENews  https://t.co/HROiJwkBImIllegal aliens should live in fear in a country where they shouldn't be.They broke the law, get out. Ok I.C.E. will come for you. Don't cry you've been here long enough now go home.",mig,en,train,1,0,1
2037,Illegal alien in upstate NY allegedly raped young girl https://t.co/uu0YjMpz28#StopTheInvasion #SecureTheBorder #FamilyValues,mig,en,train,1,1,1
2038,@TheScotsman If Syrian refugees complain about Bute then Gaelic Speaking Australians should be able to stay in Scotland  for good,mig,en,train,0,0,0
2039,And what were they expecting? Holiday camps with 5 star facilities! I bet they have better living conditions in Germany than they have at home..... if not just go back! Simple!  #Refugees https://t.co/npx0lz1C7X,mig,en,train,0,0,0
2040,"Illegal alien turns himself in to ICE following deadly hit-and-run car crash, report says https://t.co/8Ux2yFuCT5 #PreventableDeath #StopTheInvasion #ThereAreMoreOfThemOutThere",mig,en,train,0,0,0
2041,"Would be awesome, lol, great idea @potus @realDonaldTrump #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike enough already",mig,en,train,1,0,0
2042,"The American people also agree! Illegal aliens do not deserve a free pass ahead of hard working people, trying to come to our country legally. #BuildTheWall #DeportIllegals #GaysForTrump #NoDACA",mig,en,train,1,0,1
2043,Sign this petition to demand Congress stop privatizing detention and incarceration of immigrant families and asylum seekers. Sign here: https://t.co/vQHHidB2QH,mig,en,train,0,0,0
2044,Illegal Aliens have the Audacity to try to enter a U.S Army Base that's  a National Security Risk Here ILLEGALLY for 10 or 30 years get deported !  #RedNationRising  #Immigration #Trump #MAGA #SendthemBack https://t.co/c9Gx4Y9AzN via @nbcchicago,mig,en,train,1,0,1
2045,"Sweden is almost like the perfect experiment on multiculturalism. Wanna let in massive amounts of people from Muslim majority and third world countries? Okay, get ready to become one yourself! P.S. We told yah so! #Immigration #sweden #stopimmigration https://t.co/ed5nzhpmKe",mig,en,train,1,0,1
2046,Sometimes drastic &amp; dramatic measures are the only means to bring back control &amp; normality Time for the tolerant to become non tolerant#Europe  #UK need to reclaim their ways of life and values hijacked &amp; abused by #Muslim migrants courtesy of our liberal moronic governments https://t.co/ikBg7GG8fC,mig,en,train,1,0,1
2047,"@aparnapkin I'm running to help flip the NYS Senate blue. If elected, I'll be the first Indian American to ever serve in the New York legislature. I hope you'll share my immigrant story. #nys #sd56 #flipthesenate #desi #immigrant #nextgen #onward https://",mig,en,train,0,0,0
2048,refusal to kick Khan out for the fear that it might offend the Muslim immigrant community undermines that cultural equality. I$lam0ph0bia in its true form. PC makes govt. AFRAID to offend them even as they openly offend. I$lami© terrorism works! Remember https://t.co/5i6suoMU5p,mig,en,train,1,0,1
2049,US to require would-be immigrants to turn over social media handles - https://t.co/zBSFcSYnLS,mig,en,train,0,0,0
2050,'Great Ghetto' where hundreds of migrant labourers are living in southern Italy as they strike https://t.co/J8UpOH0XPB,mig,en,train,1,0,1
2051,Study: At least 1 in 10 immigrant children has 'interrupted schooling': https://t.co/GGY6JygCAt #K12 #EdPolicy,mig,en,train,0,0,0
2052,@DRottiemom @POTUS @GenFlynn @SenSanders @NancyPelosi #SocialismKills The #elite #Socialist inVenezuela are Killing The People #BuildThatWall#VoteRedToSaveAmerica,mig,en,train,1,0,1
2053,It is way overdue to admit Europe can not take all of the migrants which are trying to get there. Nor can places like Canada. @Europarl_EN @PopulationIC @PopnMatters @BBCNews @dwnews @CBC Please look at this dramatic graphic demonstration... https://t.co/wZ3v1J3Uqh,mig,en,train,1,0,0
2054,"The Romansh weren’t Minnesota’s largest immigrant group, but they made a big impact https://t.co/cbm9rEgslL",mig,en,train,0,0,0
2055,"But, of course, we don't need a wall or ICE to enforce our immigration laws.  The left/liberals/progressives are out of their minds--but they are loud about it and we must stand up and let our voices be heard!! https://t.co/HC6fNhcuKY",mig,en,train,0,0,0
2056,"@OwenCallan @ThisIsHowWeDo_3 @Independent_ie According to the latest census, almost 60,000 people identified their  ethnicity as Black African or Black Irish, when 20 years before that  figure was just 4,697. Good immigration polices AND more restrictive",mig,en,train,0,0,0
2057,Mexico troops find 150 Central Americans in back of truck https://t.co/HK36TvFzUxMexico is finding illegal immigrants,mig,en,train,0,0,0
2058,"In stretch of #Arizona border, #illegalalien migrant families keep coming. https://t.co/jlIgPpXABx #BuildTheWall #SecureBorders #NoAmnesty",mig,en,train,1,0,0
2059,"Hi @MattHancock- we join the many signatories of this open letter to you from @MaternityAction: https://t.co/WEGHypuekb. Surely you can understand that charging migrant women for maternity care in the UK is unworkable &amp; inhumane. #ALLMothers need this care, regardless of status!",mig,en,train,0,0,0
2060,The German Government Pays for 3 Week Vacation for Refugees to Go Home The German government is actually giving refugees three weeks paid vacations INCLUDING airfare BACK to the very countries that claim they are fleeing because it is unsafe. JUST https://t.co/FiZHvJ7yaE,mig,en,train,0,0,0
2061,Muslim immigrant who shot a Colorado Springs Police Officer in the head remained in U.S. despite a series of crimes...  https://t.co/4GfT7UIEQp https://t.co/ipOBmKsFZS,mig,en,train,0,0,0
2062,"Yes we can #BuildThatWall ! And yes it does keep people, includiing bloodthirsty drug cartels & disease carriers out. He's mad he can't keep giving cartels weapons.",mig,en,train,1,0,0
